name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Haponova Hanna, IK Juno,39,21,18,,,,,,
Hansson Matilda, Eslövs AI BTK,36,,,36,,,,,
Edvinsson Jennie, Halmstad BTK,34,9,7,18,,,,,
Baasan Nomin, Eslövs AI BTK,29,13,7,9,,,,,
Källberg Christina, Halmstad BTK,28,,28,,,,,,
Front Erika, Halmstad BTK,25,9,7,9,,,,,
Tveit Muskantor Rebecca, Eslövs AI BTK,24,,,24,,,,,
Tveit Muskantor Leah, Köpings BTK,23,5,,18,,,,,
Rööse Alma, IK Juno,22,,13,9,,,,,
Li Fen, Malmö IF,13,,13,,,,,,
Olsson Linn, BTK Frej,11,5,1,5,,,,,
Johansson Linnea, Spårvägens BTK,10,3,4,3,,,,,
Hansen Maja Helene, Danmark,9,,4,5,,,,,
Holgersson Hannah, IK Juno,9,,,9,,,,,
Oredsson Tuva, Halmstad BTK,9,3,4,2,,,,,
Rosager Christensen Ann-Christine, Viby BTK,9,5,1,3,,,,,
Svensson Agnes, Halmstad BTK,9,,4,5,,,,,
Haagensen Jocefina, Hvidovre Bordtennis,8,3,,5,,,,,
Stoffregen Mille, Silkeborg BTK,8,3,,5,,,,,
Ho Tin-Tin, England,7,,7,,,,,,
Händén Anja, Västers BTK,7,3,4,,,,,,
Axelsson Sandra, Eslövs AI BTK,6,1,4,1,,,,,
Eriksson Sofia, BTK Rekord,6,1,2,3,,,,,
Kelly Danielle, IK Juno,6,,1,5,,,,,
Maribo Sally, BTK Viby,6,1,4,1,,,,,
Natanaelsson Moa, Spårvägens BTK,6,2,2,2,,,,,
Nilsson Alice, Våxtorps BOIS,6,,4,2,,,,,
Girlea Maria, Finland,5,,,5,,,,,
Kalvatn Christine, Fokus BTK,5,5,,,,,,,
Svensson Lina, Halmstad BTK,5,,,5,,,,,
Donner Maria, IFK Österåker BTK,3,,,3,,,,,
Fred Josephina, Mariedals IK,3,,,3,,,,,
Kullingsjö Isabelle, IFK Falköping BTK,3,1,1,1,,,,,
Latt Kätlin, LTK Kalev,3,,,3,,,,,
Themnér Alva, Lyckeby BTK,3,3,,,,,,,
Vendelbo Emma, Denmark,3,,,3,,,,,
Westholm Sofia, IK Juno,3,,,3,,,,,
Dumont Tessie, Luxembourg,2,,,2,,,,,
Eckeroth Sofia, Denmark,2,,,2,,,,,
Franzén Nellie, Halmstad BTK,2,,,2,,,,,
Jetha Sienna, England,2,,2,,,,,,
Johansson Emilia, Sjömarkens BTK,2,2,,,,,,,
Jones Megan, England,2,,2,,,,,,
Nurga Raili, Sport Club Pinx,2,,,2,,,,,
Palmbo Alvalie, BTK Frej,2,2,,,,,,,
Pashley Ella, England,2,,2,,,,,,
Ronnebring Tuva, Kosta SK,2,,2,,,,,,
Sadikovic Melisa, Luxembourg,2,,,2,,,,,
Söderlund Elvira, Sjömarkens BTK,2,2,,,,,,,
Baig Maliha, England,1,,1,,,,,,
Ferm Indra, Karlsborgs BTK,1,,,1,,,,,
Fridell Mona, Spånga TBK,1,,,1,,,,,
Ikkonen Eiris, LTK Kalev,1,,,1,,,,,
Riina Hanson Katrin, LTK Kalev,1,,,1,,,,,
Shute Mabel, England,1,,1,,,,,,
Skjøld Hinze Filippa, Fokus BTK,1,1,,,,,,,
Zajac Anna, Tibble-Kungsängen BTK,1,,,1,,,,,
